Part,Amount,Price,Link
XIAO-ESP32C3,1,$3.90,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html?srsltid=AfmBOorDC5QskiMPr1eQeF3IyO_gO_M0BdMRDqxPz0dwHTAT8HCzDP3a
1000K Ohm resistor,1,$0.05,https://www.amazon.eg/-/en/Resistor-1K-ohm-4W-2pcs/dp/B0CJQ3M5J1/
Push-buttons,1,$0.04,https://www.temu.com/eg-en/10pcs-6x6x5mm--tactile-tact-push-button-micro-switch-mini-micro-momentary-tactile-push-button-switch--x-5mm-g-605681855863393.html
PCB,1,$2.00,https://cart.jlcpcb.com
LED,5,$0.20,https://www.ram-e-shop.com/shop/led-pack-jumbo-300-led-pack-jumbo-mixed-300-led-free-storage-box-7525?srsltid=AfmBOopEREqiHCI3qXmfFKm-uMgbiE0rt1plLX-qgW4y3SOBV-yuDqnW
LIPO-Battery,1,$1.10,https://makerselectronics.com/product/rechargeable-400925-lipo-battery/
Total,,$7.30 (shipping not included),
